,STREET,SCORE,#Hotels
0,E FORDHAM RD,91.00662878787878,17
1,EAST  161 STREET,90.90051842447676,36
2,EASTCHESTER RD,89.27114875864876,19
3,BRUCKNER BOULEVARD,88.43924905106971,16
4,SOUTHERN BOULEVARD,87.6501992057251,28
5,BOSTON RD,86.89434203789042,17
6,BOSTON ROAD,86.5369154193664,30
7,RIVERDALE AVENUE,86.53315964173808,18
8,E 161ST ST,86.4486111111111,15
9,MORRIS PARK AVE,86.10152237662741,21
10,MORRIS PARK AVENUE,85.81675302153563,15
11,WILLIAMSBRIDGE RD,85.6247505418558,20
12,EAST  149 STREET,85.28420697902665,22
13,GRAND CONCOURSE,85.09918897929046,55
14,BAYCHESTER AVE,85.03163145845822,22
15,E 149TH ST,84.87790247012961,23
16,ARTHUR AVE,84.80099915564311,15
17,EAST TREMONT AVENUE,84.77857013521468,63
18,WESTCHESTER AVENUE,84.64290318075518,61
19,JEROME AVENUE,84.50641826199347,40
20,BROADWAY,84.50088571501274,39
21,3 AVENUE,84.23584375110627,25
22,3RD AVE,84.14567205281492,21
23,WHITE PLAINS ROAD,84.1313271097097,61
24,CASTLE HILL AVE,83.71457317324253,22
25,JEROME AVE,83.67094200857369,38
26,WEBSTER AVE,83.47220498602688,25
27,EAST  138 STREET,83.3501197346743,23
28,WESTCHESTER AVE,83.33677712220066,55
29,WHITE PLAINS RD,83.08629331304465,55
30,EAST GUN HILL ROAD,83.07246986411899,15
31,SOUTHERN BLVD,82.78253088285983,16
32,WEBSTER AVENUE,82.68237760607491,19
33,EAST  167 STREET,82.65647099425192,17
34,E TREMONT AVE,82.57084860870465,49
35,CITY ISLAND AVE,82.48862791889627,22
36,E GUN HILL RD,81.6167352851397,20
37,ARTHUR AVENUE,81.04677485222774,18
